E_center_MeV,PDF_per_MeV
1.077913e-11,0.000000e+00
1.252422e-11,0.000000e+00
1.455184e-11,0.000000e+00
1.690771e-11,0.000000e+00
1.964500e-11,0.000000e+00
2.282544e-11,0.000000e+00
2.652078e-11,0.000000e+00
3.081438e-11,0.000000e+00
3.580309e-11,0.000000e+00
4.159945e-11,0.000000e+00
4.833422e-11,0.000000e+00
5.615932e-11,0.000000e+00
6.525127e-11,0.000000e+00
7.581517e-11,0.000000e+00
8.808931e-11,0.000000e+00
1.023506e-10,0.000000e+00
1.189207e-10,0.000000e+00
1.381734e-10,0.000000e+00
1.605431e-10,0.000000e+00
1.865343e-10,0.000000e+00
2.167334e-10,0.000000e+00
2.518216e-10,0.000000e+00
2.925905e-10,0.000000e+00
3.399596e-10,0.000000e+00
3.949976e-10,0.000000e+00
4.589459e-10,0.000000e+00
5.332473e-10,0.000000e+00
6.195777e-10,0.000000e+00
7.198846e-10,0.000000e+00
8.364308e-10,0.000000e+00
9.718453e-10,0.000000e+00
1.129183e-09,0.000000e+00
1.311993e-09,0.000000e+00
1.524398e-09,0.000000e+00
1.771192e-09,0.000000e+00
2.057940e-09,0.000000e+00
2.391112e-09,0.000000e+00
2.778222e-09,0.000000e+00
3.228004e-09,0.000000e+00
3.750604e-09,0.000000e+00
4.357810e-09,0.000000e+00
5.063321e-09,0.000000e+00
5.883050e-09,0.000000e+00
6.835490e-09,0.000000e+00
7.942126e-09,0.000000e+00
9.227922e-09,0.000000e+00
1.072188e-08,0.000000e+00
1.245771e-08,0.000000e+00
1.447456e-08,0.000000e+00
1.681792e-08,0.000000e+00
1.954067e-08,0.000000e+00
2.270422e-08,0.000000e+00
2.637994e-08,2.516615e+08
3.065073e-08,0.000000e+00
3.561295e-08,0.000000e+00
4.137853e-08,0.000000e+00
4.807754e-08,0.000000e+00
5.586108e-08,0.000000e+00
6.490475e-08,0.000000e+00
7.541254e-08,0.000000e+00
8.762150e-08,0.000000e+00
1.018070e-07,0.000000e+00
1.182892e-07,0.000000e+00
1.374397e-07,0.000000e+00
1.596905e-07,0.000000e+00
1.855437e-07,0.000000e+00
2.155824e-07,0.000000e+00
2.504843e-07,0.000000e+00
2.910366e-07,0.000000e+00
3.381542e-07,0.000000e+00
3.928999e-07,0.000000e+00
4.565086e-07,0.000000e+00
5.304154e-07,0.000000e+00
6.162873e-07,0.000000e+00
7.160615e-07,0.000000e+00
8.319888e-07,0.000000e+00
9.666841e-07,1.303583e+04
1.123186e-06,0.000000e+00
1.305025e-06,0.000000e+00
1.516303e-06,0.000000e+00
1.761786e-06,0.000000e+00
2.047011e-06,0.000000e+00
2.378413e-06,0.000000e+00
2.763468e-06,0.000000e+00
3.210861e-06,0.000000e+00
3.730686e-06,0.000000e+00
4.334667e-06,0.000000e+00
5.036431e-06,0.000000e+00
5.851807e-06,0.000000e+00
6.799189e-06,0.000000e+00
7.899948e-06,0.000000e+00
9.178915e-06,0.000000e+00
1.066494e-05,0.000000e+00
1.239155e-05,0.000000e+00
1.439769e-05,0.000000e+00
1.672861e-05,0.000000e+00
1.943690e-05,0.000000e+00
2.258365e-05,0.000000e+00
2.623984e-05,0.000000e+00
3.048796e-05,0.000000e+00
3.542382e-05,0.000000e+00
4.115879e-05,0.000000e+00
4.782221e-05,0.000000e+00
5.556442e-05,0.000000e+00
6.456006e-05,0.000000e+00
7.501205e-05,0.000000e+00
8.715617e-05,0.000000e+00
1.012664e-04,0.000000e+00
1.176610e-04,0.000000e+00
1.367098e-04,0.000000e+00
1.588425e-04,0.000000e+00
1.845584e-04,0.000000e+00
2.144376e-04,0.000000e+00
2.491541e-04,0.000000e+00
2.894910e-04,0.000000e+00
3.363584e-04,0.000000e+00
3.908133e-04,0.000000e+00
4.540843e-04,0.000000e+00
5.275985e-04,0.000000e+00
6.130144e-04,0.000000e+00
7.122588e-04,0.000000e+00
8.275704e-04,0.000000e+00
9.615504e-04,0.000000e+00
1.117221e-03,0.000000e+00
1.298094e-03,0.000000e+00
1.508250e-03,0.000000e+00
1.752429e-03,0.000000e+00
2.036140e-03,0.000000e+00
2.365782e-03,0.000000e+00
2.748792e-03,0.000000e+00
3.193809e-03,0.000000e+00
3.710873e-03,0.000000e+00
4.311647e-03,0.000000e+00
5.009684e-03,0.000000e+00
5.820730e-03,0.000000e+00
6.763081e-03,0.000000e+00
7.857994e-03,0.000000e+00
9.130169e-03,0.000000e+00
1.060830e-02,0.000000e+00
1.232574e-02,0.000000e+00
1.432123e-02,0.000000e+00
1.663977e-02,0.000000e+00
1.933368e-02,0.000000e+00
2.246371e-02,0.000000e+00
2.610049e-02,0.000000e+00
3.032605e-02,0.000000e+00
3.523570e-02,0.000000e+00
4.094021e-02,0.000000e+00
4.756825e-02,0.000000e+00
5.526934e-02,0.000000e+00
6.421720e-02,0.000000e+00
7.461369e-02,0.000000e+00
8.669332e-02,0.000000e+00
1.007286e-01,0.000000e+00
1.170361e-01,0.000000e+00
1.359837e-01,0.000000e+00
1.579989e-01,0.000000e+00
1.835782e-01,0.000000e+00
2.132988e-01,0.000000e+00
2.478309e-01,0.000000e+00
2.879536e-01,0.000000e+00
3.345721e-01,0.000000e+00
3.887378e-01,0.000000e+00
4.516728e-01,0.000000e+00
5.247966e-01,0.000000e+00
6.097589e-01,0.000000e+00
7.084762e-01,0.000000e+00
8.231754e-01,0.000000e+00
9.564439e-01,0.000000e+00
1.111288e+00,0.000000e+00
1.291201e+00,0.000000e+00
1.500240e+00,0.000000e+00
1.743123e+00,0.000000e+00
2.025327e+00,0.000000e+00
2.353218e+00,0.000000e+00
2.734194e+00,0.000000e+00
3.176848e+00,0.000000e+00
3.691166e+00,0.000000e+00
4.288750e+00,0.000000e+00
4.983080e+00,0.000000e+00
5.789818e+00,0.000000e+00
6.727165e+00,0.000000e+00
7.816263e+00,0.000000e+00
9.081682e+00,0.000000e+00
1.055197e+01,0.000000e+00
1.226028e+01,0.000000e+00
1.424517e+01,0.000000e+00
1.655140e+01,0.000000e+00
1.923100e+01,0.000000e+00
2.234442e+01,0.000000e+00
2.596188e+01,0.000000e+00
3.016499e+01,0.000000e+00
3.504857e+01,0.000000e+00
4.072279e+01,0.000000e+00
4.731563e+01,0.000000e+00
5.497582e+01,0.000000e+00
6.387617e+01,0.000000e+00
7.421744e+01,0.000000e+00
8.623292e+01,0.000000e+00
1.001936e+02,0.000000e+00
